"last_name, first_name","player_id","year","pa","k_percent","bb_percent","xba","xslg","woba","xwoba","xobp","xiso","wobacon","xwobacon","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent"
"Boyd, Matthew",571510,2025,145,20.7,9,".252",".370",".331",".310",".328",".118",".375",".345",33,4,34,"77.9800418","93.567345253",24.5,48.4
"Gillispie, Connor",687362,2025,123,18.7,8.9,".272",".505",".392",".365",".341",".233",".453",".414",36.4,12.5,50,"80.485346279","95.911199535",21.4,45.6
"Fedde, Erick",607200,2025,162,13,13,".282",".472",".325",".373",".379",".190",".314",".378",29.4,9.2,39.5,"80.611180833","94.100430588",16.5,44.6
"Luzardo, Jesús",666200,2025,170,27.6,6.5,".232",".352",".274",".278",".280",".121",".347",".354",30.4,6.3,38.4,"78.302749636","93.724445",31.7,49
"Liberatore, Matthew",669461,2025,133,22.6,2.3,".251",".386",".255",".282",".268",".135",".318",".354",32,7,45,"80.8394174","94.73632798",23.8,49.3
"Heaney, Andrew",571760,2025,162,21,8,".253",".405",".295",".320",".323",".152",".330",".366",32.7,9.7,37.2,"78.454922143","93.943623604",22.5,49.5
"Lodolo, Nick",666157,2025,174,17.8,4,".253",".443",".288",".327",".309",".190",".315",".367",27.7,7.7,39.2,"79.483247619","94.151386111",20.8,51.7
"Lorenzen, Michael",547179,2025,168,19.6,8.3,".255",".455",".350",".336",".319",".199",".405",".387",35.5,9.9,38.8,"78.207044833","93.891861333",23,47.4
"Brown, Hunter",686613,2025,158,31,6.3,".238",".365",".229",".286",".286",".127",".295",".387",33.3,6.1,29.3,"73.6632606","93.238444242",27.8,46.7
"Skenes, Paul",694973,2025,165,24.8,4.8,".216",".350",".258",".266",".258",".134",".315",".326",29.6,5.2,33.9,"76.46765569","93.000446348",26.9,50.6
"Francis, Bowden",670102,2025,149,16.8,6.7,".319",".575",".385",".409",".375",".256",".437",".469",33,12.5,49.1,"79.749562321","96.024676667",21.1,46.2
"Miller, Bryce",682243,2025,129,24,14.7,".242",".318",".314",".313",".356",".076",".345",".343",40.5,3.8,43,"81.007515641","94.504908333",25.2,46
"Gore, MacKenzie",669022,2025,187,36.4,7,".215",".387",".297",".289",".274",".172",".437",".423",35.2,11.4,44.8,"81.385355","95.121347767",35.9,49.2
"Springs, Jeffrey",605488,2025,153,18.3,11.1,".239",".382",".320",".315",".323",".144",".344",".337",34.3,7.4,29.6,"75.62669","92.611428148",24.1,45.9
"Alexander, Tyler",641302,2025,109,19.3,10.1,".264",".434",".296",".341",".345",".170",".314",".380",40,5.3,41.3,"80.776576944","94.443342639",17.5,47.7
"Cease, Dylan",656302,2025,154,25.3,9.7,".255",".440",".349",".333",".331",".185",".434",".409",45.5,11.1,40.4,"77.3207034","94.087206364",28.6,49.1
"Corbin, Patrick",571578,2025,107,15.9,7.5,".291",".459",".363",".349",".345",".168",".407",".388",40.2,6.1,31.7,"78.23022775","93.109957875",22.4,48.6
"King, Michael",650633,2025,156,29.5,7.7,".202",".321",".250",".266",".273",".119",".304",".331",29.2,6.3,40.6,"76.02998125","94.364106737",29.6,44.4
"Holmes, Grant",656550,2025,140,25,13.6,".233",".429",".296",".342",".343",".196",".324",".399",36.5,11.8,41.2,"81.403649302","94.627395059",24.1,46.6
"Meyer, Max",676974,2025,167,28.1,7.8,".269",".472",".336",".348",".330",".203",".437",".456",29.2,9.4,49.1,"85.260966415","96.163906952",31.1,47.5
"Parker, Mitchell",680730,2025,175,12,11.4,".242",".369",".268",".320",".342",".127",".235",".304",24.4,3.8,40.5,"77.065388438","94.058695591",20.9,51.1
"Taillon, Jameson",592791,2025,159,19.5,5,".260",".450",".293",".321",".297",".190",".342",".379",32.5,9.2,37.5,"76.835037288","94.026668644",22.9,48
"Pepiot, Ryan",686752,2025,167,21,8.4,".260",".463",".369",".347",".329",".203",".438",".407",35,10.3,41.9,"78.687492586","94.998332672",25.4,51.7
"Vásquez, Randy",681190,2025,148,8.8,16.2,".279",".476",".322",".390",".408",".198",".270",".362",32.1,9.2,32.1,"76.593038","93.140520183",16,42.1
"Rodriguez, Eduardo",593958,2025,170,26.5,7.1,".240",".396",".362",".303",".296",".157",".472",".382",35.4,7.1,34.5,"76.492779818","93.400282",24.3,46.7
"Keller, Mitch",656605,2025,173,16.8,6.9,".303",".469",".317",".364",".368",".166",".340",".404",39.1,7,39.8,"77.246274531","94.04130189",17.2,49.1
"Senga, Kodai",673540,2025,130,23.8,9.2,".228",".351",".278",".293",".305",".123",".314",".338",30.2,5.8,41.9,"77.102989302","93.957636235",27.1,47.5
"Webb, Logan",657277,2025,195,28.7,6.7,".241",".339",".277",".278",".291",".098",".358",".360",38.9,5.6,38.1,"77.103897097","94.021963306",26.9,45.6
